,image_set,channel,condition,is_temperature
0,07_Red_Fiducial,Red,Fiducial,False
1,09_Green_Cy3probe,Green,Cy3probe,False
2,09_Red_Cy3probe,Red,Cy3probe,False
3,11_Green_Quenchprobe,Green,Quenchprobe,False
4,11_Red_Quenchprobe,Red,Quenchprobe,False
5,12_Green_Redoligo,Green,Redoligo,False
6,12_Red_Redoligo,Red,Redoligo,False
7,15_Green_15C,Green,15C,True
8,15_Red_15C,Red,15C,True
9,16_Green_17.5C,Green,17.5C,True
10,16_Red_17.5C,Red,17.5C,True
11,17_Green_20C,Green,20C,True
12,17_Red_20C,Red,20C,True
13,18_Green_22.5C,Green,22.5C,True
14,18_Red_22.5C,Red,22.5C,True
15,19_Green_25C,Green,25C,True
16,19_Red_25C,Red,25C,True
17,20_Green_27.5C,Green,27.5C,True
18,20_Red_27.5C,Red,27.5C,True
19,21_Green_30C,Green,30C,True
20,21_Red_30C,Red,30C,True
21,22_Green_32.5C,Green,32.5C,True
22,22_Red_32.5C,Red,32.5C,True
23,23_Green_35C,Green,35C,True
24,23_Red_35C,Red,35C,True
25,24_Green_37.5C,Green,37.5C,True
26,24_Red_37.5C,Red,37.5C,True
27,25_Green_40C,Green,40C,True
28,25_Red_40C,Red,40C,True
29,26_Green_42.5C,Green,42.5C,True
30,26_Red_42.5C,Red,42.5C,True
31,27_Green_45C,Green,45C,True
32,27_Red_45C,Red,45C,True
33,28_Green_47.5C,Green,47.5C,True
34,28_Red_47.5C,Red,47.5C,True
35,29_Green_50C,Green,50C,True
36,29_Red_50C,Red,50C,True
37,30_Green_52.5C,Green,52.5C,True
38,30_Red_52.5C,Red,52.5C,True
39,31_Green_55C,Green,55C,True
40,31_Red_55C,Red,55C,True
41,32_Green_57.5C,Green,57.5C,True
42,32_Red_57.5C,Red,57.5C,True
43,33_Green_60C,Green,60C,True
44,33_Red_60C,Red,60C,True
45,34_Green_15C,Green,15C,True
46,34_Red_15C,Red,15C,True
