condition,curve_channel,to_be_normalized
Green07_Cy3,,False
Green09_Quench,,False
Green11_RedOligo,,False
Green12_20.0,green,True
Green13_22.5,green,True
Green14_25.0,green,True
Green15_27.5,green,True
Green16_30.0,green,True
Green17_32.5,green,True
Green18_35.0,green,True
Green19_37.5,green,True
Green20_40.0,green,True
Green21_42.5,green,True
Green22_45.0,green,True
Green23_47.5,green,True
Green24_50.0,green,True
Green25_52.5,green,True
Green26_55.0,green,True
Green27_57.5,green,True
Green28_60.0,green,True
Green29_20.0,green,True
