condition,curve_channel,to_be_normalized
Green11_Cy3,green,False
Green13_Quench,green,False
Green16_20,green,True
Green17_22.5,green,True
Green18_25,green,True
Green19_27.5,green,True
Green20_30,green,True
Green21_32.5,green,True
Green22_35,green,True
Green23_37.5,green,True
Green24_40,green,True
Green25_42.5,green,True
Green26_45,green,True
Green27_47.5,green,True
Green28_50,green,True
Green29_52.5,green,True
Green30_55,green,True
Green31_57.5,green,True
Green32_60,green,True
Green33_20,green,False
Red11_Cy3,red,False
Red13_Quench,red,False
Red16_20,red,True
Red17_22.5,red,True
Red18_25,red,True
Red19_27.5,red,True
Red20_30,red,True
Red21_32.5,red,True
Red22_35,red,True
Red23_37.5,red,True
Red24_40,red,True
Red25_42.5,red,True
Red26_45,red,True
Red27_47.5,red,True
Red28_50,red,True
Red29_52.5,red,True
Red30_55,red,True
Red31_57.5,red,True
Red32_60,red,True
Red33_20,red,True
