condition,curve_channel,to_be_normalized
Green07_PostCy3,,FALSE
Green09_PostQuench,,FALSE
Green11_PostRed,,FALSE
Green12_15,,FALSE
Green14_20,green,TRUE
Green15_22.5,green,TRUE
Green16_25,green,TRUE
Green17_27.5,green,TRUE
Green18_30,green,TRUE
Green19_32.5,green,TRUE
Green20_35,green,TRUE
Green21_37.5,green,TRUE
Green22_40,green,TRUE
Green23_42.5,green,TRUE
Green24_45,green,TRUE
Green25_47.5,green,TRUE
Green26_50,green,TRUE
Green27_52.5,green,TRUE
Green28_55,green,TRUE
Green29_57.5,green,TRUE
Green30_60,green,FALSE
Red11_PostRed,,FALSE
Red12_15,,FALSE
Red14_20,red,FALSE
Red15_22.5,red,FALSE
Red16_25,red,FALSE
Red17_27.5,red,FALSE
Red18_30,red,FALSE
Red19_32.5,red,FALSE
Red20_35,red,FALSE
Red21_37.5,red,FALSE
Red22_40,red,FALSE
Red23_42.5,red,FALSE
Red24_45,red,FALSE
Red25_47.5,red,FALSE
Red26_50,red,FALSE
Red27_52.5,red,FALSE
Red28_55,red,FALSE
Red29_57.5,red,FALSE
